"","OTU_id","Kingdom","Phylum","Class","Order","Family","Genus","Species","Phenotype","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","276629","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__S24-7","g__","s__","no_IgA",6.70429796469107,-1.4837281927303,0.307326673517626,-4.82785361826138,1.38012477503565e-06,9.49404515573975e-06
"2","4306262","k__Bacteria","p__Verrucomicrobia","c__Verrucomicrobiae","o__Verrucomicrobiales","f__Verrucomicrobiaceae","g__Akkermansia","s__muciniphila","no_IgA",108.401026046474,-2.53978404372107,0.412972902552914,-6.1500016781262,7.74821271278443e-10,9.15166256264727e-09
"3","181348","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Lachnospiraceae","g__Coprococcus","s__","no_IgA",10.4116014057161,-0.0220409888434487,0.215268850392305,-0.102388194126932,0.918448554145524,0.948760387615673
"4","184451","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__","g__","s__","no_IgA",774.575546485226,0.686405627274055,0.278114665022512,2.468067001136,0.0135844890167557,0.0322117050170041
"5","3957916","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__","g__","s__","no_IgA",24.6547054571512,-0.493799076930946,0.236664839666363,-2.08649108007373,0.0369341623619868,0.0744227111804771
"6","193680","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Lachnospiraceae","g__","s__","no_IgA",1.29211880756506,-2.26781171523074,0.70781767467002,-3.20394897780417,0.00135556497312752,0.00446622985883069
"7","831301","k__Bacteria","p__Firmicutes","c__Erysipelotrichi","o__Erysipelotrichales","f__Erysipelotrichaceae","g__","s__","no_IgA",0.497771058841931,1.06807527855319,0.872071594132746,1.22475641419712,0.220667011536687,0.330472605794177
"8","4454531","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacteriales","f__Enterobacteriaceae","g__","s__","no_IgA",3.50213189667635,2.81875175024084,1.2116448560565,2.32638444850494,0.0199980505073015,0.0453578971651114
"9","180362","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__","g__","s__","no_IgA",16.3326971166246,1.34942749422853,0.278395873995286,4.84715335347023,1.25245612539074e-06,8.71152816105118e-06
"10","258522","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Lachnospiraceae","g__","s__","no_IgA",216.533638536019,0.369807071766735,0.296800473995452,1.24597871017013,0.21277221134341,0.320952781448132
"11","2949328","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides","s__","no_IgA",0.465997382259066,-1.10545967632934,1.45468624160615,-0.759929973015198,0.447296444255877,0.566403145560769
"12","335965","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Lachnospiraceae","g__","s__","no_IgA",3.13215348092744,-2.91609425716663,0.462476485481626,-6.30538924401699,2.87470512237576e-10,3.67258246246373e-09
"13","4405128","k__Bacteria","p__Cyanobacteria","c__4C0d-2","o__YS2","f__","g__","s__","no_IgA",0.829875839891873,-2.16768405672926,0.959649275724925,-2.25882946151528,0.0238939951394016,0.0521172158789736
"14","3265889","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Lachnospiraceae","g__","s__","no_IgA",6.14754114071792,-2.1048886648811,0.697247712653999,-3.01885345291284,0.00253733234427876,0.00782448299270199
"15","1107652","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Rikenellaceae","g__","s__","no_IgA",4.28385481259092,-1.82093582539112,0.300155628280929,-6.06663894933474,1.30614728929818e-09,1.48663309654665e-08
"16","262633","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Lachnospiraceae","g__[Ruminococcus]","s__gnavus","no_IgA",306.960309926634,0.925592016180945,0.284227559180648,3.25651748496585,0.00112787983592466,0.00380669837606265
"17","190026","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Rikenellaceae","g__AF12","s__","no_IgA",135.745490359798,0.0743607106793636,0.251652060963361,0.295490171607178,0.767619459259856,0.835161040800226
"18","178959","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Ruminococcaceae","g__Oscillospira","s__","no_IgA",38.850308004913,0.0476918446733025,0.262991172978696,0.181343898858407,0.85609765088999,0.904727426051043
