sample_id	age	sex	cage	diet	name	title	number	strain	weight	age_bin	latitude	taxon_id	age_units	body_site	elevation	env_biome	longitude	phenotype	timepoint	host_taxid	life_stage	mice_group	antibiotics	description	env_feature	env_package	sample_type	weight_unit	body_habitat	body_product	env_material	geo_loc_name	qiita_empo_1	qiita_empo_2	qiita_empo_3	dna_extracted	immune_status	host_subject_id	scientific_name	stam_comparison	experiment_group	prepdescription_	mice_group_number	collection_timestamp	fig_7a_extended_data	fig_7l_extended_data	fig_7m_extended_data	fig_7n_extended_data	fig_7q_extended_data	host_scientific_name	fig_7k1_extended_data	fig_7k2_extended_data	physical_specimen_location	fig_7a_extended_data_groups	fig_7l_extended_data_groups	fig_7m_extended_data_groups	fig_7n_extended_data_groups	fig_7q_extended_data_groups	physical_specimen_remaining	fig_7k1_extended_data_groups	fig_7k2_extended_data_groups	qiita_study_id
10856.E27L.feces.51w.NC.CD4He.WT.1.32	51	male	Cage 32	NC	10856.E27L.feces.51w.NC.CD4He.WT.1.32	Steatohepatitis progresses to cancer via immunosuppression of HCC directed by CD8+Tcells	sample 88	C57Bl/6	35	4	32.5	410661	weeks	UBERON:colon	193	urban biome	-117.25	lean	6 months	10090	adult	Group 8-B6-NC (10-11M)	No	B6-NC (10-11M)	animal-associated habitat	host-associated	colon content	grams	UBERON:gastro-intestinal system	UBERON:feces	feces	USA:CA:San Diego	Host-associated	Animal	Animal distal gut	TRUE	normal	SS88	mouse gut metagenome	not applicable	A	Karin_Rapid_Response_Plate_1_33657_H12	8	6/30/16	FALSE	FALSE	FALSE	FALSE	FALSE	Mus musculus	TRUE	FALSE	UCSD	not applicable	not applicable	not applicable	not applicable	not applicable	FALSE	NC	not applicable	10856
10856.E23Lb.feces.49w.ctrl.HFD.IgAkCLM.2.31	49	male	Cage 83	HFD	10856.E23Lb.feces.49w.ctrl.HFD.IgAkCLM.2.31	Steatohepatitis progresses to cancer via immunosuppression of HCC directed by CD8+Tcells	sample 175	C57Bl/6	35.5	4	32.5	410661	weeks	UBERON:colon	193	urban biome	-117.25	obese no IgA	11 months	10090	adult	Group15-IgAk-HFD (10-11M)	No	IgAk-HFD (10-11M)	animal-associated habitat	host-associated	colon content	grams	UBERON:gastro-intestinal system	UBERON:feces	feces	USA:CA:San Diego				TRUE	no IgA - some susceptibility	SS175	mouse gut metagenome	not applicable	B	Karin_Rapid_Response_Plate_2_33657_G11	15	6/22/16	FALSE	FALSE	FALSE	FALSE	FALSE	Mus musculus	FALSE	FALSE	UCSD	not applicable	not applicable	not applicable	not applicable	not applicable	FALSE	not applicable	not applicable	10856
10856.BLANK2.1F	Not applicable	Not applicable	Not applicable	Not applicable	10856.BLANK2.1F	Steatohepatitis progresses to cancer via immunosuppression of HCC directed by CD8+Tcells	Not applicable	Not applicable	Not applicable	Not applicable	32.5	256318	Not applicable	Not applicable	193	urban biome	-117.25	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	BLANK2.1F	research facility	misc environment	control blank	Not applicable	Not applicable	Not applicable	sterile water	USA:CA:San Diego				TRUE	Not applicable	BLANK2.1F	metagenome	not applicable	Not applicable	Karin_Rapid_Response_Plate_2_33657_F1	Not applicable	2/3/17	FALSE	FALSE	FALSE	FALSE	FALSE	Not applicable	FALSE	FALSE	UCSD	not applicable	not applicable	not applicable	not applicable	not applicable	FALSE	not applicable	not applicable	10856
10856.E22L.feces.26w.HFD.IgAkMup.4.10	26	male	Cage 47	HFD	10856.E22L.feces.26w.HFD.IgAkMup.4.10	Steatohepatitis progresses to cancer via immunosuppression of HCC directed by CD8+Tcells	sample 96	C57Bl/6	46.2	2	32.5	410661	weeks	UBERON:colon	193	urban biome	-117.25	NASH, obesity, no IgA	6 months	10090	adult	Group9-IgAkMup-HFD (6M)	No	IgAkMup-HFD (6M)	animal-associated habitat	host-associated	colon content	grams	UBERON:gastro-intestinal system	UBERON:feces	feces	USA:CA:San Diego				TRUE	no IgA - some susceptibility	SS96	mouse gut metagenome	not applicable	D	Karin_Rapid_Response_Plate_2_33657_D1	9	5/5/16	FALSE	FALSE	FALSE	FALSE	FALSE	Mus musculus	FALSE	FALSE	UCSD	not applicable	not applicable	not applicable	not applicable	not applicable	FALSE	not applicable	not applicable	10856
10856.E42L.feces.46w.ANB.HFD.CD8kMup.6.6	46	male	Cage 173	HFD	10856.E42L.feces.46w.ANB.HFD.CD8kMup.6.6	Steatohepatitis progresses to cancer via immunosuppression of HCC directed by CD8+Tcells	sample 450	C57Bl/6	26.6	4	32.5	410661	weeks	UBERON:colon	193	urban biome	-117.25	NASH, obesity, HCC,CD8KO, ABX	11 months	10090	adult	Group62-Antibiotic-CD8kMup-HFD (10-11M)	Yes (Ampicillin, Vancomycin, Neomycin sulfate and Metronidazole )	Antibiotic-CD8kMup-HFD (10-11M)	animal-associated habitat	host-associated	colon content	grams	UBERON:gastro-intestinal system	UBERON:feces	feces	USA:CA:San Diego				not yet	CD8KO - some susceptibility	SS450	mouse gut metagenome	not applicable	D	Karin_Rapid_Response_Plate_5_33657_F11	62	11/7/16	TRUE	FALSE	FALSE	FALSE	FALSE	Mus musculus	FALSE	FALSE	UCSD	HFD + ABX	not applicable	not applicable	not applicable	not applicable	FALSE	not applicable	not applicable	10856
10856.E29L.feces.27w.HFD.MupHe.1.9	27	male	Cage 4	HFD	10856.E29L.feces.27w.HFD.MupHe.1.9	Steatohepatitis progresses to cancer via immunosuppression of HCC directed by CD8+Tcells	sample 10	C57Bl/6	43.4	2	32.5	410661	weeks	UBERON:colon	193	urban biome	-117.25	NASH, obesity	6 months	10090	adult	Group1-MupHe-HFD (6M)	No	MupHe-HFD (6M)	animal-associated habitat	host-associated	colon content	grams	UBERON:gastro-intestinal system	UBERON:feces	feces	USA:CA:San Diego	Host-associated	Animal	Animal distal gut	TRUE	normal	SS10	mouse gut metagenome	not applicable	D	Karin_Rapid_Response_Plate_1_33657_B3	1	6/20/16	TRUE	FALSE	TRUE	TRUE	FALSE	Mus musculus	TRUE	TRUE	UCSD	HFD	not applicable	MUP	MUP	not applicable	FALSE	HFD	HFD MUP	10856
10856.BLANK3.2A	Not applicable	Not applicable	Not applicable	Not applicable	10856.BLANK3.2A	Steatohepatitis progresses to cancer via immunosuppression of HCC directed by CD8+Tcells	Not applicable	Not applicable	Not applicable	Not applicable	32.5	256318	Not applicable	Not applicable	193	urban biome	-117.25	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	BLANK3.2A	research facility	misc environment	control blank	Not applicable	Not applicable	Not applicable	sterile water	USA:CA:San Diego				TRUE	Not applicable	BLANK3.2A	metagenome	not applicable	Not applicable	Karin_Rapid_Response_Plate_3_33657_A2	Not applicable	2/3/17	FALSE	FALSE	FALSE	FALSE	FALSE	Not applicable	FALSE	FALSE	UCSD	not applicable	not applicable	not applicable	not applicable	not applicable	FALSE	not applicable	not applicable	10856
10856.BLANK3.2B	Not applicable	Not applicable	Not applicable	Not applicable	10856.BLANK3.2B	Steatohepatitis progresses to cancer via immunosuppression of HCC directed by CD8+Tcells	Not applicable	Not applicable	Not applicable	Not applicable	32.5	256318	Not applicable	Not applicable	193	urban biome	-117.25	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	BLANK3.2B	research facility	misc environment	control blank	Not applicable	Not applicable	Not applicable	sterile water	USA:CA:San Diego				TRUE	Not applicable	BLANK3.2B	metagenome	not applicable	Not applicable	Karin_Rapid_Response_Plate_3_33657_B2	Not applicable	2/3/17	FALSE	FALSE	FALSE	FALSE	FALSE	Not applicable	FALSE	FALSE	UCSD	not applicable	not applicable	not applicable	not applicable	not applicable	FALSE	not applicable	not applicable	10856
10856.BLANK5.3C	Not applicable	Not applicable	Not applicable	Not applicable	10856.BLANK5.3C	Steatohepatitis progresses to cancer via immunosuppression of HCC directed by CD8+Tcells	Not applicable	Not applicable	Not applicable	Not applicable	32.5	256318	Not applicable	Not applicable	193	urban biome	-117.25	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	BLANK5.3C	research facility	misc environment	control blank	Not applicable	Not applicable	Not applicable	sterile water	USA:CA:San Diego				TRUE	Not applicable	BLANK5.3C	metagenome	not applicable	Not applicable	Karin_Rapid_Response_Plate_5_33657_C3	Not applicable	2/3/17	FALSE	FALSE	FALSE	FALSE	FALSE	Not applicable	FALSE	FALSE	UCSD	not applicable	not applicable	not applicable	not applicable	not applicable	FALSE	not applicable	not applicable	10856
10856.BLANK5.3D	Not applicable	Not applicable	Not applicable	Not applicable	10856.BLANK5.3D	Steatohepatitis progresses to cancer via immunosuppression of HCC directed by CD8+Tcells	Not applicable	Not applicable	Not applicable	Not applicable	32.5	256318	Not applicable	Not applicable	193	urban biome	-117.25	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	BLANK5.3D	research facility	misc environment	control blank	Not applicable	Not applicable	Not applicable	sterile water	USA:CA:San Diego				TRUE	Not applicable	BLANK5.3D	metagenome	not applicable	Not applicable	Karin_Rapid_Response_Plate_5_33657_D3	Not applicable	2/3/17	FALSE	FALSE	FALSE	FALSE	FALSE	Not applicable	FALSE	FALSE	UCSD	not applicable	not applicable	not applicable	not applicable	not applicable	FALSE	not applicable	not applicable	10856
