sample_id	NASH	HCC	obes	adenomas	T1d
10856.E27L.feces.51w.NC.CD4He.WT.1.32	False	False	False	False	False
10856.E23Lb.feces.49w.ctrl.HFD.IgAkCLM.2.31	False	False	True	False	False
10856.BLANK2.1F	False	False	False	False	False
10856.E22L.feces.26w.HFD.IgAkMup.4.10	True	False	True	False	False
10856.E42L.feces.46w.ANB.HFD.CD8kMup.6.6	True	True	True	False	False
10856.E29L.feces.27w.HFD.MupHe.1.9	True	False	True	False	False
10856.BLANK3.2A	False	False	False	False	False
10856.BLANK3.2B	False	False	False	False	False
10856.BLANK5.3C	False	False	False	False	False
10856.BLANK5.3D	False	False	False	False	False
10856.E15L.feces.45w.HFD.IgAMup.3.11	True	True	False	False	False
10856.BLANK2.1E	False	False	False	False	False
10856.BLANK1.1C	False	False	False	False	False
10856.BLANK1.1D	False	False	False	False	False
10856.BLANK5.12B	False	False	False	False	False
10856.BLANK5.12G	False	False	False	False	False
10856.BLANK5.12H	False	False	False	False	False
10856.BLANK4.2G	False	False	False	False	False
10856.BLANK4.2E	False	False	False	False	False
10856.E32L.feces.30w.HFD.CD8kMup.1.1	True	False	True	False	False
10856.B6.PIGRK.Feces.6w.NC.5.66	False	False	False	False	False
10856.E12L.feces.38w.HFD.CD4HeMup.16	True	True	True	False	False
10856.E12L.feces.38w.HFD.CD4HeMup.15	True	True	True	False	False
10856.E52L.Col.Fe.47w.HFD.RagkMup.3.7	True	True	True	False	False
10856.Ex3.HFD.11.feces.MupplusIgA..9	True	True	False	False	False
10856.E11L.feces.56w.NC.1.MupHe.1	True	False	False	True	False
10856.E24Lb.feces.48w.HFD.CD4HeMup.4.8	True	True	True	False	False
10856.E4L.HFD.feces.ox.MupHe.2	False	True	False	False	False
10856.FVB.JH.Feces.9w.NC.5.26	False	False	False	False	False
10856.E11L.feces.56w.NC.2.MupHe.2	True	False	False	True	False
10856.E49L.feces.26w.STAM.B6.PIGRK.4.4	True	True	False	False	True
10856.E26L.feces.50w.HFD.ctrl.IgAKMup.1.3	True	True	False	False	False
10856.Ex3.HFD.10.feces.MupHe.5	True	True	True	False	False
10856.E32L.feces.30w.HFD.CD8kMup.3.5	True	False	True	False	False
10856.Ex3.HFD.10.feces.MupHe.1	True	True	True	False	False
10856.Ex3.HFD.10.feces.MupHe.2	True	True	True	False	False
10856.Ex3.HFD.10.feces.MupHe.3	True	True	True	False	False
10856.FVB.CD8k.Feces.20w.NC.2.57	False	False	False	False	False
10856.E27L.feces.50w.HFD.CD4He.WT.11	False	False	True	False	False
10856.FVB.CD8k.Feces.7w.NC.4.59	False	False	False	False	False
10856.E18L.feces.26w.HFD.IgAkCLM.2.19	False	False	True	False	False
10856.E51L.Col.Fe.47w.HFD.CD8kMup.3.10	True	True	True	False	False
10856.E36L.feces.50w.NC.CD8kCLM.3.26	False	False	False	False	False
10856.E4L.HFD.feces.oxpluspdl1.MupHe.10	False	True	False	False	False
10856.E27L.feces.47w.HFD.CD8kMup.3.18	True	True	False	False	False
10856.E24L.feces.49w.HFD.IgAkMup.4.10	True	True	False	False	False
10856.E16L.feces.40w.HFD.CD8k.CLM.1.6	False	False	True	False	False
10856.E38L.feces.50w.NC.MupHe.1.14	True	False	False	True	False
10856.E22L.feces.28w.HFD.CD8kMup.1.13	True	False	True	False	False
10856.E14L.feces.41w.ANB.HFD.MupHe.1.5	True	True	True	False	False
10856.E46L.feces.51w.HFD.RagkMup.1.7	True	True	True	False	False
10856.E41L.feces.20w.STAM.JH.6.6	True	True	False	False	True
10856.E27L.feces.47w.HFD.CD8kMup.1.15	True	True	False	False	False
10856.FVB.IgAK.Feces.16w.NC.2.31	False	False	False	False	False
10856.E32L.feces.30w.HFD.CD8kCLM.5.10	False	False	True	False	False
10856.E4L.feces.ctrl.MupplusIgAk.17	True	True	False	False	False
10856.FVB.B.TGFbR.Feces.10w.NC.3.39	False	False	False	False	False
10856.E19L.feces.45w.HFD.CD8kMup.4.5	True	True	False	False	False
10856.E22L.feces.29w.HFD.IgAkMup.2.8	True	False	True	False	False
10856.E14L.feces.41w.ANB.HFD.MupHe.3.7	True	True	True	False	False
10856.FVB.JH.Feces.11w.NC.1.22	False	False	False	False	False
10856.FVB.CD8k.Feces.20w.NC.1.56	False	False	False	False	False
10856.E24L.feces.49w.HFD.IgAkMup.6.12	True	True	False	False	False
10856.E15L.feces.45w.HFD.IgACLM.4.12	False	False	True	False	False
10856.E47L.feces.26w.STAM.B6.IgAk.2.6	True	True	False	False	True
10856.E22L.feces.26w.HFD.CD8kMup.3.15	True	False	True	False	False
10856.E30L.feces.47w.HFD.CD4HeMup.1.4	True	True	True	False	False
10856.E38L.feces.50w.NC.MupHe.3.16	True	False	False	True	False
10856.E47L.feces.26w.STAM.B6.IgAk.4.8	True	True	False	False	True
10856.E27L.feces.51w.NC.CD4HeMup.1.31	True	False	False	True	False
10856.E41L.feces.20w.STAM.JH.4.4	True	True	False	False	True
10856.E15L.feces.45w.HFD.IgACLM.8.20	False	False	True	False	False
10856.E23Lb.feces.50w.ctrl.HFD.IgAkMup.3.22	True	True	False	False	False
10856.B6.CD8K.Feces.13w.NC.3.3	False	False	False	False	False
10856.E41L.feces.20w.STAM.JH.2.2	True	True	False	False	True
10856.E15L.feces.44w.HFD.IgAMup.8.24	True	True	False	False	False
10856.E30L.feces.37w.HFD.CD8kMup.1.1	True	True	False	False	False
10856.E45L.feces.22w.STAM.FVB.JH.4.8	True	True	False	False	True
10856.E23La.feces.51w.LALAPG.HFD.MupHe.2.10	False	True	False	False	False
10856.E26L.feces.50w.HFD.IgAK.CLM.3.12	False	False	True	False	False
10856.E51L.Col.Fe.48w.HFD.IgAkMup.1.4	True	True	True	False	False
10856.E27L.feces.50w.NC.CD8kCLM.1.22	False	False	False	False	False
10856.E38L.feces.25w.NC.MupHe.1.18	True	False	False	False	False
10856.E27L.feces.47w.HFD.CD8kCLM.2.19	False	False	True	False	False
10856.E25L.feces.49w.HFD.CD8kCLM.1.2	False	False	True	False	False
