"","Variable","Phenotype","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","f__Deinococcaceae","no_IgA",2.19251864456246,-0.129240561710741,0.114136123809198,-1.13233704980899,0.257492759290592,0.570659628698069
"2","f__Thermaceae","no_IgA",5.59293393541444,-0.107947621707768,0.106247926388228,-1.01599744463087,0.309630603415256,0.651018191796179
"3","f__Actinomycetaceae","no_IgA",2.03130565418962,-0.0156142923736801,0.114764973092796,-0.136054511693692,0.891778187464326,0.986212678190592
"4","f__Brevibacteriaceae","no_IgA",2.101005636894,-0.0814524232164616,0.114975278938861,-0.70843423010763,0.478675641810455,0.912823316940867
"5","f__Corynebacteriaceae","no_IgA",6.41408101195528,-0.410770374437164,0.110523257068665,-3.7165967175756,0.000201924364358141,0.00103486236733547
"6","f__Microbacteriaceae","no_IgA",3.06499451547541,-0.0271826798318397,0.0938672623990982,-0.289586370552348,0.772132695153951,0.986212678190592
"7","f__Micrococcaceae","no_IgA",8.10843523627873,0.0126372271831416,0.057469053528731,0.219896212086106,0.825951986433835,0.986212678190592
"8","f__Mycobacteriaceae","no_IgA",5.13477016092322,0.00459960092914884,0.0723801925564781,0.0635477851977222,0.949330309023321,0.986212678190592
"9","f__Bifidobacteriaceae","no_IgA",75.9218673455144,0.507266316468275,0.180303320899666,2.8134052880288,0.00490198243423531,0.0182710254366952
"10","f__Coriobacteriaceae","no_IgA",130.123429075146,-0.1317483263833,0.173132793973536,-0.7609669049957,0.44667683482597,0.872083344184036
"11","k__Bacteria_p__Bacteroidetes_c__Bacteroidia_o__Bacteroidales_f__","no_IgA",296.437311964641,1.64151477262146,0.240525947752419,6.82468892841084,8.8116040293238e-12,1.20425255067425e-10
"12","f__[Odoribacteraceae]","no_IgA",177.619649274109,-0.287303464674958,0.213505457143418,-1.34564927997118,0.178415650806197,0.430296569591416
"13","f__Bacteroidaceae","no_IgA",2019.23538156489,-0.441891668457047,0.153857269673844,-2.87208832831752,0.00407768976072565,0.0159224076371192
"14","f__Porphyromonadaceae","no_IgA",751.869130280945,-0.354354276294032,0.184320980974683,-1.92248475686391,0.0545447898062377,0.17202587554275
"15","f__Prevotellaceae","no_IgA",956.847718195031,-0.0243393642531628,0.314091560099081,-0.0774913029993066,0.938232709672075,0.986212678190592
"16","f__Rikenellaceae","no_IgA",874.300631983125,-1.23711850750773,0.14853321462888,-8.32890145546742,8.15959499102698e-17,6.01739568950324e-15
"17","f__S24-7","no_IgA",5511.7016348627,-0.675068666844908,0.155904556992106,-4.3300124118828,1.49100937670209e-05,0.000122262768889572
"18","f__[Weeksellaceae]","no_IgA",5.07704022659936,-0.00458133744029922,0.072730858978714,-0.0629902836929237,0.949774241446862,0.986212678190592
"19","f__Sphingobacteriaceae","no_IgA",3.05299739020836,-0.00190235601693184,0.0936128077371551,-0.0203215357269622,0.983786876307602,0.986212678190592
"20","k__Bacteria_p__Cyanobacteria_c__4C0d-2_o__YS2_f__","no_IgA",24.1797549855028,-0.5825733918867,0.102789981362232,-5.6676086926576,1.44804197506861e-08,1.48424302444532e-07
"21","k__Bacteria_p__Cyanobacteria_c__Chloroplast_o__Streptophyta_f__","no_IgA",5.13005622148551,0.00297411071701803,0.0722768918753855,0.0411488463303841,0.967177233814772,0.986212678190592
"22","f__Deferribacteraceae","no_IgA",493.230404318667,0.971817356360873,0.236564864610981,4.10803759027774,3.99035169457149e-05,0.000297462580868057
"23","k__Bacteria_p__Firmicutes_c__Bacilli_o__Bacillales_f__","no_IgA",2.0313218883126,0.00197761108514854,0.114440414488157,0.0172807053696332,0.986212678190592,0.986212678190592
