"","Variable","Phenotype","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","g__Deinococcus","no_IgA",2.18970590094069,-0.129796407327051,0.112604603090965,-1.15267408049206,0.249044184009991,0.577644149023173
"2","g__Meiothermus","no_IgA",1.21766448077505,0.0239764594025466,0.152208819773181,0.157523456513728,0.874832323035999,0.998644113602911
"3","g__Thermus","no_IgA",4.36887552712745,-0.14672499334838,0.118781718225614,-1.23524895531221,0.216737864620541,0.524568454951165
"4","g__Actinomyces","no_IgA",2.02860440997508,-0.0161607780693602,0.113782403664813,-0.142032313862586,0.887054481648465,0.998644113602911
"5","g__Brevibacterium","no_IgA",2.09822032620335,-0.0820028917266799,0.113642974231848,-0.721583470346193,0.470550604838145,0.894541559572101
"6","g__Cellulomonas","no_IgA",1.02992945954208,0.124639174514842,0.156025262509027,0.798839703971854,0.424383365034869,0.833788493656742
"7","g__Corynebacterium","no_IgA",6.40616674849569,-0.411464835256427,0.110587582847533,-3.72071461064224,0.00019865983809399,0.00110587309872321
"8","k__Bacteria_p__Actinobacteria_c__Actinobacteria_o__Actinomycetales_f__Microbacteriaceae_g__","no_IgA",1.03475341641203,-0.0551238811600966,0.160207878192765,-0.344077218810491,0.730788214856473,0.998644113602911
"9","g__Leucobacter","no_IgA",2.0261847627841,-0.0138355102534158,0.113794209598046,-0.121583605196493,0.903228798307338,0.998644113602911
"10","g__Micrococcus","no_IgA",2.03582294032015,0.0637579138445295,0.112226691216547,0.568117202364143,0.569955387730502,0.987422221485336
"11","g__Rothia","no_IgA",2.02621151773854,-0.00502316957219829,0.113631575361753,-0.0442057549251316,0.964740394772782,0.998644113602911
"12","g__Mycobacterium","no_IgA",5.1279849024888,0.00405311927261397,0.0716884408632198,0.0565379749344423,0.95491324426868,0.998644113602911
"13","g__Rhodococcus","no_IgA",2.01177341022785,0.000193614019339769,0.113934001230403,0.0016993524079632,0.998644113602911,0.998644113602911
"14","k__Bacteria_p__Actinobacteria_c__Actinobacteria_o__Actinomycetales_f__Sporichthyaceae_g__","no_IgA",1.04912721185138,-0.0820044245049615,0.160325004614479,-0.511488677029209,0.609008915047842,0.987422221485336
