"","Phenotype","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Variable","Anot"
"X1","no_IgA",3571547.48313485,-0.580434753969402,0.393543264426334,-1.47489439265464,0.14024093810686,0.239033334965495,"Spectral Match to Chenodeoxycholic acid from NIST14","Chenodeoxycholic acid"
"X2","no_IgA",1307209.89123796,-0.444658825483862,0.387515345770944,-1.14746120466335,0.251191058174767,0.363477438625607,"Spectral Match to Hyodeoxycholic acid from NIST14","Hyodeoxycholic acid"
"X3","no_IgA",1019097.45518694,-0.0385578124135907,0.323560535470886,-0.119167228962199,0.905142869103887,0.925184246334732,"MLS001077317-01!17BETA-ESTRADIOL 17-HEMISUCCINATE","MLS001077317-01!17BETA-ESTRADIOL 17-HEMISUCCINATE"
"X4","no_IgA",535450.133013897,-0.767171923701513,0.341132649620026,-2.24889621253209,0.0245191000350523,0.0640191007508619,"Spectral Match to 12-Ketodeoxycholic acid from NIST14","12-Ketodeoxycholic acid"
"X5","no_IgA",393893.838651823,-0.71279574349025,0.379366308679136,-1.87891156168305,0.0602565699049788,0.127375097948603,"Urobilinogen","Urobilinogen"
"X6","no_IgA",141887.35261341,-0.0484574908479107,0.372812291496962,-0.129978254347082,0.896583631241716,0.917434413363617,"Stercobilin","Stercobilin"
"X7","no_IgA",923426.875284807,0.507020191559434,0.343678124156847,1.47527630047248,0.140138275337829,0.239033334965495,"Phytosphingosine","Phytosphingosine"
"X8","no_IgA",145410.853415976,0.122766181027382,0.282517661250333,0.434543385656167,0.663893896532502,0.744764824438728,"NCGC00385811-01!6-[3-[(3,4-dimethoxyphenyl)methyl]-4-methoxy-2-(methoxymethyl)butyl]-4-methoxy-1,3-benzodioxole","NCGC00385811-01!6-[3-[(3,4-dimethoxyphenyl)methyl]-4-methoxy-2-(methoxymethyl)butyl]-4-methoxy-1,3-benzodioxole"
"X9","no_IgA",317876.597959425,-0.68591719289227,0.295199356512373,-2.32357279160776,0.0201484021053631,0.055284764786356,"Spectral Match to 3.beta.-Hydroxy-5-cholenoic acid from NIST14","3.beta.-Hydroxy-5-cholenoic acid"
"X10","no_IgA",99152.0851424668,-0.602733633841305,0.311170080299597,-1.93699096410872,0.0527464479158604,0.11476699656418,"NCGC00385811-01!6-[3-[(3,4-dimethoxyphenyl)methyl]-4-methoxy-2-(methoxymethyl)butyl]-4-methoxy-1,3-benzodioxole","NCGC00385811-01!6-[3-[(3,4-dimethoxyphenyl)methyl]-4-methoxy-2-(methoxymethyl)butyl]-4-methoxy-1,3-benzodioxole"
"X11","no_IgA",259924.115280904,-0.111312493673915,0.294857336259571,-0.377513054570648,0.705792364718447,0.777811993771349,"NCGC00380950-01_C19H20O6_6a,7,8,12a-Tetrahydroxy-3-methyl-2,3,4,5,6,6a,7,12a-octahydro-1,12-tetraphenedione","NCGC00380950-01_C19H20O6_6a,7,8,12a-Tetrahydroxy-3-methyl-2,3,4,5,6,6a,7,12a-octahydro-1,12-tetraphenedione"
"X12","no_IgA",90713.8774866793,0.559150405374442,0.254035620666561,2.20107087308187,0.0277310068966836,0.0706962150069959,"NCGC00385123-01_C22H30O6_7b,9-Dihydroxy-3-(hydroxymethyl)-1,1,6,8-tetramethyl-5-oxo-1,1a,1b,4,4a,5,7a,7b,8,9-decahydro-9aH-cyclopropa[3,4]benzo[1,2-e]azulen-9a-yl acetate","NCGC00385123-01_C22H30O6_7b,9-Dihydroxy-3-(hydroxymethyl)-1,1,6,8-tetramethyl-5-oxo-1,1a,1b,4,4a,5,7a,7b,8,9-decahydro-9aH-cyclopropa[3,4]benzo[1,2-e]azulen-9a-yl acetate"
"X13","no_IgA",448013.072681236,-0.419261471006308,0.340647137171929,-1.2307793762397,0.21840539105416,0.329810754672666,"Spectral Match to D-erythro-C18-Sphingosine from NIST14","D-erythro-C18-Sphingosine"
"X14","no_IgA",344305.086180511,-0.144523576927406,0.333414953371592,-0.433464592592324,0.66467728369833,0.74494020097511,"NCGC00180745-02_C28H36O5_2-Picenecarboxylic acid, 1,2,3,4,4a,5,6,6a,8,12b,13,14,14a,14b-tetradecahydro-10,11-dihydroxy-2,4a,6a,12b,14a-pentamethyl-8-oxo-, (2R,4aS,6aS,12bR,14aS,14bR)-","NCGC00180745-02_C28H36O5_2-Picenecarboxylic acid, 1,2,3,4,4a,5,6,6a,8,12b,13,14,14a,14b-tetradecahydro-10,11-dihydroxy-2,4a,6a,12b,14a-pentamethyl-8-oxo-, (2R,4aS,6aS,12bR,14aS,14bR)-"
"X15","no_IgA",1505247.57842213,-0.567611919942832,0.363541860389006,-1.56133854664071,0.118443893210481,0.211278295997075,"Massbank:EA262112 Methylprednisolone|(6alpha,11beta)-11,17,21-trihydroxy-6-methylpregna-1,4-diene-3,20-dione|(6S,8S,9S,10R,11S,13S,14S,17R)-11,17-dihydroxy-17-(2-hydroxy-1-oxoethyl)-6,10,13-trimethyl-7,8,9,11,12,14,15,","Massbank:EA262112 Methylprednisolone|(6alpha,11beta)-11,17,21-trihydroxy-6-methylpregna-1,4-diene-3,20-dione|(6S,8S,9S,10R,11S,13S,14S,17R)-11,17-dihydroxy-17-(2-hydroxy-1-oxoethyl)-6,10,13-trimethyl-7,8,9,11,12,14,15,"
"X16","no_IgA",78570.4891782843,-0.535910749474094,0.237021389754896,-2.26102272891185,0.0237578496395747,0.062443197725254,"Spectral Match to 12-Ketodeoxycholic acid from NIST14","12-Ketodeoxycholic acid"
"X17","no_IgA",141608.293171414,-0.780351451466969,0.278298459253375,-2.80400924087223,0.00504714584868623,0.0199866975607975,"Spectral Match to Ursodeoxycholic acid from NIST14","Ursodeoxycholic acid"
"X18","no_IgA",248756.309700807,-0.268829231618522,0.187146335251765,-1.43646538018963,0.150869960655539,0.252797620957376,"Spectral Match to Oleanolic acid from NIST14","Oleanolic acid"
